Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.274369	0.265098	89.895000	90.410000	
0.100000	0.276948	0.248547	89.845000	90.820000	
0.100000	0.279472	0.296171	89.763333	89.500000	
0.100000	0.279041	0.254193	89.933333	90.740000	
0.100000	0.279884	0.254971	89.848333	90.770000	
0.100000	0.280143	0.361078	89.848333	87.360000	
0.100000	0.279777	0.289490	89.793333	89.140000	
0.100000	0.274943	0.307384	89.840000	88.940000	
0.100000	0.279956	0.257306	89.896667	90.950000	
0.100000	0.277280	0.252488	89.868333	90.980000	
0.100000	0.277010	0.389587	90.005000	87.330000	
0.100000	0.281544	0.413273	89.653333	86.270000	
0.100000	0.279487	0.261362	89.793333	90.250000	
0.100000	0.280599	0.259598	89.816667	90.580000	
0.100000	0.277707	0.369361	89.853333	86.560000	
0.100000	0.282129	0.275095	89.780000	90.240000	
0.100000	0.276571	0.223395	89.866667	91.840000	
0.100000	0.279882	0.234193	89.811667	91.720000	
0.100000	0.277297	0.286929	89.980000	89.690000	
0.100000	0.280552	0.329870	89.750000	87.960000	
0.100000	0.277054	0.238558	89.865000	91.610000	
0.100000	0.279339	0.214648	89.858333	92.290000	
0.100000	0.278795	0.245824	89.878333	91.320000	
0.100000	0.275502	0.295893	90.021667	89.240000	
0.100000	0.277458	0.272366	89.891667	90.030000	
0.100000	0.277466	0.259001	89.795000	90.670000	
0.100000	0.274193	0.252760	89.916667	90.870000	
0.100000	0.279325	0.271734	89.871667	90.350000	
0.100000	0.279106	0.233608	89.678333	91.550000	
0.100000	0.274765	0.233681	90.010000	91.720000	
0.100000	0.275741	0.249261	90.091667	90.900000	
0.100000	0.277243	0.363587	89.848333	87.910000	
0.100000	0.280139	0.386378	89.935000	86.060000	
0.100000	0.275862	0.252319	89.965000	90.620000	
0.100000	0.275975	0.326188	89.895000	89.330000	
0.100000	0.275728	0.248612	89.986667	90.700000	
0.100000	0.278204	0.343217	89.858333	88.310000	
0.100000	0.274747	0.216465	90.031667	92.150000	
0.100000	0.276368	0.390820	89.896667	85.970000	
0.100000	0.282234	0.321235	89.716667	88.370000	
0.100000	0.282313	0.266746	89.703333	90.590000	
0.100000	0.279368	0.294496	89.966667	89.390000	
0.100000	0.278598	0.236106	90.083333	91.620000	
0.100000	0.276490	0.257543	89.931667	90.660000	
0.100000	0.279351	0.297826	89.878333	88.950000	
0.100000	0.273739	0.245349	90.023333	91.450000	
0.100000	0.275873	0.230085	89.995000	91.700000	
0.100000	0.277670	0.247263	89.938333	90.830000	
0.100000	0.277804	0.217656	89.921667	92.310000	
0.100000	0.277540	0.333272	89.766667	88.120000	
0.100000	0.275507	0.247244	90.158333	90.960000	
0.100000	0.277256	0.257947	89.866667	90.750000	
0.100000	0.280487	0.288710	89.798333	89.700000	
0.010000	0.209393	0.172915	92.316667	93.850000	
0.010000	0.192799	0.164827	93.023333	93.810000	
0.010000	0.187039	0.167234	93.218333	94.020000	
0.010000	0.183617	0.159284	93.386667	94.340000	
0.010000	0.180177	0.159155	93.445000	94.310000	
0.010000	0.174589	0.154303	93.756667	94.510000	
0.010000	0.176706	0.160241	93.610000	94.260000	
0.010000	0.171650	0.154835	93.788333	94.600000	
0.010000	0.169840	0.153160	93.841667	94.480000	
0.010000	0.172866	0.160953	93.768333	94.340000	
0.010000	0.168276	0.155758	93.906667	94.390000	
0.010000	0.170681	0.154604	93.870000	94.300000	
0.010000	0.166384	0.159356	94.006667	94.320000	
0.010000	0.164458	0.152298	94.061667	94.760000	
0.010000	0.164708	0.153444	93.970000	94.450000	
0.010000	0.166802	0.160576	93.973333	94.180000	
0.010000	0.166655	0.158126	93.916667	94.400000	
0.010000	0.164602	0.159761	94.036667	94.510000	
0.010000	0.163403	0.160510	94.056667	94.200000	
0.010000	0.163908	0.171858	93.971667	93.910000	
0.010000	0.165512	0.156267	93.976667	94.520000	
0.010000	0.163485	0.158653	94.151667	94.220000	
0.010000	0.162782	0.157028	94.093333	94.750000	
0.010000	0.164282	0.166254	93.981667	94.090000	
0.010000	0.164056	0.163415	93.990000	94.250000	
0.010000	0.162560	0.161806	94.148333	94.210000	
0.010000	0.161771	0.162030	94.180000	94.170000	
0.010000	0.162964	0.164438	93.996667	94.100000	
0.010000	0.164343	0.162783	94.046667	94.300000	
0.010000	0.164764	0.157741	94.041667	94.180000	
0.010000	0.162141	0.157482	94.145000	94.340000	
0.010000	0.161666	0.164611	94.135000	94.360000	
0.010000	0.163790	0.164780	94.005000	94.240000	
0.010000	0.162858	0.164514	94.035000	94.200000	
0.010000	0.163623	0.169321	94.121667	94.130000	
0.010000	0.164388	0.166236	93.993333	94.120000	
0.010000	0.163363	0.156262	94.176667	94.520000	
0.010000	0.161961	0.157173	94.173333	94.360000	
0.010000	0.162671	0.160036	94.070000	94.260000	
0.010000	0.163230	0.160422	94.065000	94.350000	
0.010000	0.164612	0.167843	94.076667	94.130000	
0.010000	0.163679	0.170193	94.008333	94.000000	
0.010000	0.163961	0.151774	94.131667	94.690000	
0.010000	0.162401	0.158297	94.141667	94.450000	
0.010000	0.164095	0.163126	93.985000	94.140000	
0.010000	0.162680	0.161975	94.148333	94.220000	
0.010000	0.163143	0.158245	94.115000	94.480000	
0.010000	0.160463	0.164552	94.265000	94.060000	
0.010000	0.159029	0.166787	94.211667	94.200000	
0.010000	0.161710	0.172863	94.083333	93.880000	
0.010000	0.163609	0.172099	94.180000	94.090000	
0.010000	0.162061	0.166559	94.140000	93.900000	
0.010000	0.162673	0.169972	93.973333	93.930000	
0.010000	0.161061	0.171590	94.158333	93.930000	
0.010000	0.159036	0.174396	94.185000	93.910000	
0.010000	0.162360	0.172313	94.085000	94.000000	
0.010000	0.160864	0.173248	94.143333	94.040000	
0.010000	0.159880	0.174570	94.306667	93.660000	
0.010000	0.161892	0.166840	94.230000	94.420000	
0.010000	0.160873	0.157034	94.093333	94.330000	
0.010000	0.160044	0.167754	94.225000	93.980000	
0.010000	0.159761	0.175790	94.201667	93.950000	
0.010000	0.160862	0.165033	94.180000	94.130000	
0.010000	0.160079	0.160784	94.176667	94.310000	
0.010000	0.157471	0.171848	94.263333	93.800000	
0.010000	0.157595	0.161452	94.265000	94.400000	
0.010000	0.161626	0.151495	94.090000	94.740000	
0.010000	0.159198	0.183582	94.220000	93.700000	
0.010000	0.158737	0.163736	94.220000	94.060000	
0.010000	0.157121	0.173013	94.306667	93.950000	
0.010000	0.159218	0.176274	94.226667	94.000000	
0.010000	0.158804	0.166934	94.223333	94.360000	
0.010000	0.159543	0.162641	94.200000	94.270000	
0.010000	0.156041	0.171358	94.343333	94.130000	
0.010000	0.163468	0.160222	94.025000	94.310000	
0.001000	0.133745	0.142340	95.188333	94.970000	
0.001000	0.124746	0.141599	95.546667	95.050000	
0.001000	0.116516	0.140848	95.880000	95.080000	
0.001000	0.116488	0.141607	95.848333	95.140000	
0.001000	0.116233	0.142968	95.851667	95.050000	
0.001000	0.114050	0.143388	95.871667	95.040000	
0.001000	0.111414	0.142802	96.030000	94.980000	
0.001000	0.111158	0.144554	96.038333	95.100000	
0.001000	0.108297	0.142403	96.156667	95.120000	
0.001000	0.109703	0.143359	96.225000	95.040000	
0.001000	0.107660	0.143945	96.183333	95.190000	
0.001000	0.106876	0.141877	96.163333	95.160000	
0.001000	0.104541	0.144695	96.271667	95.250000	
0.001000	0.106701	0.144452	96.153333	95.240000	
0.001000	0.104428	0.144639	96.308333	95.130000	
0.001000	0.101696	0.143868	96.396667	95.100000	
0.001000	0.104112	0.144601	96.375000	95.270000	
0.001000	0.104781	0.145237	96.250000	95.130000	
0.001000	0.103351	0.142255	96.401667	95.280000	
0.001000	0.103552	0.143569	96.326667	95.280000	
0.001000	0.101087	0.145908	96.378333	95.120000	
0.001000	0.102176	0.145051	96.401667	95.200000	
0.001000	0.103322	0.143380	96.391667	95.230000	
0.001000	0.102860	0.143949	96.313333	95.210000	
0.001000	0.098138	0.144173	96.528333	95.260000	
0.001000	0.099409	0.146497	96.445000	95.360000	
0.001000	0.098555	0.145381	96.433333	95.290000	
0.001000	0.096850	0.148639	96.568333	95.170000	
0.001000	0.098714	0.148098	96.523333	95.090000	
0.001000	0.097089	0.147865	96.580000	95.320000	
0.001000	0.099245	0.147081	96.493333	95.440000	
0.001000	0.095191	0.148273	96.678333	95.260000	
0.001000	0.096198	0.148783	96.585000	95.160000	
0.001000	0.097034	0.146199	96.561667	95.340000	
0.001000	0.097427	0.150697	96.515000	95.310000	
0.001000	0.095753	0.150621	96.610000	95.160000	
0.001000	0.093785	0.146483	96.720000	95.370000	
0.001000	0.093222	0.149994	96.718333	95.240000	
0.001000	0.094850	0.148943	96.598333	95.340000	
0.001000	0.095080	0.151424	96.598333	95.270000	
0.001000	0.094456	0.149660	96.653333	95.200000	
0.001000	0.090191	0.146464	96.755000	95.180000	
0.001000	0.092073	0.151639	96.696667	95.180000	
0.001000	0.092567	0.151141	96.661667	95.120000	
0.001000	0.093317	0.152273	96.721667	95.160000	
0.001000	0.093237	0.154578	96.645000	95.240000	
0.001000	0.090962	0.152446	96.811667	95.070000	
0.001000	0.090027	0.153773	96.863333	95.070000	
0.001000	0.092603	0.152592	96.643333	95.110000	
0.001000	0.093258	0.153422	96.635000	95.070000	
0.001000	0.090543	0.154212	96.866667	95.010000	
0.001000	0.091060	0.153028	96.776667	95.140000	
0.001000	0.091609	0.154313	96.743333	95.170000	
0.001000	0.087685	0.151583	96.890000	95.250000	
0.001000	0.089034	0.155953	96.920000	95.080000	
0.001000	0.088551	0.156032	96.906667	95.010000	
0.001000	0.086265	0.157366	96.936667	95.100000	
0.001000	0.089007	0.157733	96.810000	95.060000	
0.001000	0.089366	0.156264	96.895000	95.120000	
0.001000	0.087587	0.153721	96.866667	95.290000	
0.001000	0.087350	0.159713	96.888333	95.090000	
0.001000	0.087151	0.159591	96.883333	95.030000	
0.001000	0.086394	0.154734	96.991667	95.170000	
0.001000	0.086949	0.158494	96.931667	95.060000	
0.001000	0.088328	0.161642	96.893333	95.060000	
0.001000	0.085511	0.158739	96.936667	95.080000	
0.001000	0.085221	0.156662	96.986667	95.150000	
0.001000	0.086310	0.159671	96.956667	95.230000	
0.001000	0.087296	0.160783	96.861667	95.110000	
0.001000	0.084036	0.156536	97.076667	95.130000	
0.001000	0.086032	0.159151	96.991667	95.380000	
0.001000	0.086748	0.158520	96.953333	95.160000	
0.001000	0.086691	0.158502	96.948333	95.250000	
0.001000	0.083462	0.157656	97.050000	95.180000	
0.001000	0.083487	0.159862	97.028333	95.150000	
